strategy,set_id,evidence_grade,threshold_summary,pig_status,recommendable,hard_count,hard_percentage_all_notes,hard_percentage_assigned_notes,gt_eligible_notes,gt_hard_count,gt_hard_percentage,gt_error_count,gt_selected_errors,gt_error_recall,gt_precision,gt_correct_sieve_rate,gt_enrichment,assigned_gt_error_recall,assigned_gt_precision,macro_finger_recall,worst_finger,cluster_count,replicates,error_recall_ci_low,error_recall_ci_high,precision_ci_low,precision_ci_high
blacklist,bl_step_crossing,exploratory,crossing and <=2 semitones,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",False,3631,0.0071389108982916555,0.008359175178936076,1800,10,0.005555555555555556,392,3,0.007653061224489796,0.3,0.004971590909090909,1.3775510204081634,0.02564102564102564,0.3,0.004545454545454545,L1,11,2000,0.0,0.015625,0.0,0.5454545454545454
blacklist,bl_rate_q995,empirically_calibrated,LOPO 99.5th percentile,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",False,4745,0.009329146850012092,0.010923791303787298,1800,8,0.0044444444444444444,392,2,0.00510204081632653,0.25,0.004261363636363636,1.1479591836734695,0.017094017094017096,0.25,0.004015151515151515,L1,11,2000,0.0,0.01054889463362453,0.0,1.0
blacklist,bl_rate_q990,empirically_calibrated,LOPO 99th percentile,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",False,6351,0.0124867042454008,0.014621074514299922,1800,17,0.009444444444444445,392,4,0.01020408163265306,0.23529411764705882,0.009232954545454546,1.0804321728691477,0.03418803418803419,0.23529411764705882,0.010165945165945166,L1,11,2000,0.0,0.01815256525652565,0.0,0.4375
blacklist,bl_crossing,research_supported_corroboration_required,non-thumb crossing,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",False,9707,0.019084937507495757,0.022347153253079725,1800,28,0.015555555555555555,392,7,0.017857142857142856,0.25,0.014914772727272728,1.1479591836734695,0.05982905982905983,0.25,0.010227272727272727,L1,11,2000,0.00443337417823939,0.032573493995575256,0.06666666666666667,0.4375
blacklist,bl_rate_q975,empirically_calibrated,LOPO 97.5th percentile,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",False,14655,0.028813202758045775,0.03373828483814602,1800,42,0.023333333333333334,392,6,0.015306122448979591,0.14285714285714285,0.02556818181818182,0.6559766763848397,0.05128205128205128,0.14285714285714285,0.020358252858252858,L1,11,2000,0.0034129692832764505,0.02616504551257145,0.047619047619047616,0.2631578947368421
blacklist,bl_span_practical,research_supported,Parncutt MaxPrac,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",False,39443,0.07754890183456838,0.09080444686939566,1800,131,0.07277777777777777,392,13,0.03316326530612245,0.09923664122137404,0.08380681818181818,0.4556784545879421,0.1111111111111111,0.09923664122137404,0.022687400318979263,L1,11,2000,0.014180910829548171,0.05699580369983648,0.04346657316503039,0.16842739378566896
blacklist,bl_span_comfortable,research_supported,Parncutt MaxComf,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",False,69306,0.1362625609245391,0.15955411593262012,1800,233,0.12944444444444445,392,22,0.05612244897959184,0.0944206008583691,0.14985795454545456,0.43356398353332753,0.18803418803418803,0.0944206008583691,0.04116142629300524,L1,11,2000,0.02958507010231148,0.08602614015572857,0.051998701298701294,0.13526641091219094
blacklist,bl_span_relative,research_supported,Parncutt MaxRel,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",False,182738,0.3592812723029525,0.4206937355682789,1800,624,0.3466666666666667,392,60,0.15306122448979592,0.09615384615384616,0.4005681818181818,0.4415227629513344,0.5128205128205128,0.09615384615384616,0.16215639619420197,L1,11,2000,0.12217108217332734,0.19897991312393976,0.06967713844281098,0.12666698656429942
blacklist,bl_hmm_disagreement,research_supported,PIG-trained HMM disagreement,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",False,279540,0.5496037324451802,0.6435482868410329,1800,1009,0.5605555555555556,392,95,0.2423469387755102,0.09415262636273539,0.6491477272727273,0.4323334884003156,0.811965811965812,0.09415262636273539,0.25879242489657617,R1,11,2000,0.15296997157071784,0.3547472992779979,0.059837298449479145,0.139002344573235
integrity,mandatory_missing,physical_invariant,schema completeness,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",False,74248,0.14597902957211756,0.0,1800,275,0.1527777777777778,392,275,0.701530612244898,1.0,0.0,4.591836734693878,0.0,,0.6812924955778922,R4,11,2000,0.6019721128059001,0.7828751260020159,1.0,1.0
