set_id,noinfo_variant,noinfo_calibration,noinfo_window,noinfo_quantile,gt_hard_count,base_risk_method,physical_policy_status,noinfo_min_run,noinfo_context_radius,hard_count,hard_percentage_all_notes,gt_error_recall,assigned_gt_error_recall,gt_precision,error_enrichment,incremental_count_beyond_physical,incremental_errors_beyond_physical
legacy_current_default__ni_k3_r1,ni_k3_r1,fixed,,,90,legacy_current_default,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",3.0,1.0,35000,0.06881351733412501,0.0663265306122449,0.2222222222222222,0.28888888888888886,1.3265306122448979,35000,26
legacy_current_default__ni_k3_r2,ni_k3_r2,fixed,,,90,legacy_current_default,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",3.0,2.0,35000,0.06881351733412501,0.0663265306122449,0.2222222222222222,0.28888888888888886,1.3265306122448979,35000,26
legacy_current_default__ni_k5_r1,ni_k5_r1,fixed,,,90,legacy_current_default,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",5.0,1.0,35000,0.06881351733412501,0.0663265306122449,0.2222222222222222,0.28888888888888886,1.3265306122448979,35000,26
legacy_current_default__ni_k5_r2,ni_k5_r2,fixed,,,90,legacy_current_default,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",5.0,2.0,35000,0.06881351733412501,0.0663265306122449,0.2222222222222222,0.28888888888888886,1.3265306122448979,35000,26
legacy_current_default__ni_k5_r4,ni_k5_r4,fixed,,,90,legacy_current_default,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",5.0,4.0,35860,0.07050436376004923,0.0663265306122449,0.2222222222222222,0.28888888888888886,1.3265306122448979,35860,26
legacy_current_default__ni_k3_r4,ni_k3_r4,fixed,,,116,legacy_current_default,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",3.0,4.0,43570,0.08566299857850934,0.07142857142857142,0.23931623931623933,0.2413793103448276,1.1083743842364533,43570,28
legacy_current_default__ni_k2_r1,ni_k2_r1,fixed,,,139,legacy_current_default,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",2.0,1.0,49431,0.09718631358123239,0.07397959183673469,0.24786324786324787,0.20863309352517986,0.9580091029217443,49431,29
legacy_current_default__ni_k2_r2,ni_k2_r2,fixed,,,180,legacy_current_default,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",2.0,2.0,62762,0.12339639928355298,0.08418367346938775,0.28205128205128205,0.18333333333333332,0.8418367346938775,62762,33
legacy_current_default__ni_k2_r4,ni_k2_r4,fixed,,,270,legacy_current_default,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",2.0,4.0,92261,0.1813943977932488,0.09438775510204081,0.3162393162393162,0.13703703703703704,0.6292517006802721,92261,37
bl_step_crossing__ni_k5_r1,ni_k5_r1,fixed,,,10,bl_step_crossing,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",5.0,1.0,4200,0.008257622080095003,0.007653061224489796,0.02564102564102564,0.3,1.3775510204081634,4200,3
bl_step_crossing__ni_k5_r2,ni_k5_r2,fixed,,,10,bl_step_crossing,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",5.0,2.0,4761,0.009360604457936263,0.007653061224489796,0.02564102564102564,0.3,1.3775510204081634,4761,3
bl_rate_q995__ni_k5_r1,ni_k5_r1,fixed,,,8,bl_rate_q995,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",5.0,1.0,5323,0.010465552936272784,0.00510204081632653,0.017094017094017096,0.25,1.1479591836734695,5323,2
bl_step_crossing__ni_k5_r4,ni_k5_r4,fixed,,,10,bl_step_crossing,"unavailable: PIG v1.02 annotations are distributed by the official authors upon request; no checksum-verifiable unattended download is published. Searched: /tmp/pianovam-audit-260724.djnuaa/PIG, /workspace/PIG. The strict validity gate remains closed.",5.0,4.0,5839,0.011480060791827314,0.007653061224489796,0.02564102564102564,0.3,1.3775510204081634,5839,3
